date,revenue,cost_of_goods_sold,gross_profit,r_and_d_expenses,sga_expenses,operating-expenses,operating-income,non_operating_income,pre-tax-income,income_taxes,income-after-taxes,operating_income,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps_basic,eps_diluted
2017-01-31,2173.00000,870.00000,1303.00000,394.00000,176.00000,570.00000,733.00000,-7.00000,726.00000,71.00000,655.00000,655.00000,655.00000,760.00000,733.00000,21640.00000,25960.00000,0.02980,0.02450
2016-10-31,2004.00000,821.00000,1183.00000,373.00000,171.00000,544.00000,639.00000,-18.00000,621.00000,79.00000,542.00000,542.00000,542.00000,693.00000,639.00000,21520.00000,26120.00000,0.02530,0.02080
2016-07-31,1428.00000,602.00000,826.00000,350.00000,157.00000,509.00000,317.00000,,317.00000,56.00000,261.00000,261.00000,261.00000,370.00000,317.00000,21360.00000,25360.00000,0.01230,0.01030
2016-04-30,1305.00000,554.00000,751.00000,346.00000,159.00000,506.00000,245.00000,-4.00000,241.00000,33.00000,208.00000,208.00000,208.00000,298.00000,245.00000,21480.00000,23960.00000,0.00970,0.00880
2016-01-31,1401.00000,611.00000,790.00000,343.00000,163.00000,540.00000,250.00000,4.00000,254.00000,46.00000,208.00000,208.00000,208.00000,303.00000,250.00000,21720.00000,22760.00000,0.00980,0.00880
2015-10-31,1305.00000,571.00000,734.00000,329.00000,152.00000,489.00000,245.00000,,245.00000,-1.00000,246.00000,246.00000,246.00000,301.00000,245.00000,21680.00000,22600.00000,0.01130,0.01100
2015-07-31,1153.00000,519.00000,634.00000,320.00000,149.00000,558.00000,76.00000,-4.00000,72.00000,46.00000,26.00000,26.00000,26.00000,132.00000,76.00000,21640.00000,22240.00000,0.00130,0.00130
2015-04-30,1151.00000,498.00000,653.00000,339.00000,138.00000,477.00000,176.00000,-4.00000,172.00000,38.00000,134.00000,134.00000,134.00000,237.00000,176.00000,21960.00000,22720.00000,0.00600,0.00600
2015-01-31,1251.00000,551.00000,700.00000,349.00000,119.00000,468.00000,232.00000,-4.00000,228.00000,35.00000,193.00000,193.00000,193.00000,293.00000,232.00000,22080.00000,22520.00000,0.00880,0.00880
2014-10-31,1225.00000,549.00000,676.00000,340.00000,123.00000,463.00000,213.00000,-4.00000,209.00000,36.00000,173.00000,173.00000,173.00000,275.00000,213.00000,21920.00000,22320.00000,0.00800,0.00780
2014-07-31,1103.00000,484.00000,619.00000,337.00000,119.00000,456.00000,163.00000,-8.00000,155.00000,27.00000,128.00000,128.00000,128.00000,226.00000,163.00000,22320.00000,22840.00000,0.00580,0.00550
2014-04-30,1103.00000,499.00000,604.00000,334.00000,119.00000,453.00000,151.00000,12.00000,163.00000,26.00000,137.00000,137.00000,137.00000,213.00000,151.00000,22360.00000,22800.00000,0.00600,0.00600
2014-01-31,1144.05600,524.57700,619.47890,336.80700,115.97500,452.78200,166.69690,1.93700,168.63400,21.70700,146.92700,146.92700,146.92700,226.38690,166.69700,23520.00000,23800.00000,0.00650,0.00630
2013-10-31,1053.96700,469.55200,584.41500,340.29400,103.13300,443.42700,140.98800,0.49600,141.48400,22.75000,118.73400,118.73400,118.73400,203.71400,140.98800,23234.80000,23550.08000,0.00500,0.00500
2013-07-31,977.23800,431.70000,545.53800,331.73800,108.26600,440.00400,105.53400,6.28600,111.82000,15.37200,96.44800,96.44800,96.44800,167.37400,105.53400,23413.80000,23680.24000,0.00400,0.00400
2013-04-30,954.73900,436.17100,518.56800,327.16100,108.62600,435.78700,82.78100,5.28100,88.06200,10.17100,77.89100,77.89100,77.89100,142.52500,82.78100,24674.88000,24772.08000,0.00330,0.00330
2013-01-31,1106.90200,521.29990,585.60250,298.00700,104.02200,402.02900,183.57350,2.53500,186.10800,12.13500,173.97300,173.97300,173.97300,241.97450,183.57330,24772.96000,24998.28000,0.00700,0.00700
2012-10-31,1204.11000,567.45200,636.65800,284.18000,100.26100,384.44100,252.21700,1.41100,253.62800,44.54800,209.08000,209.08000,209.08000,309.36500,252.21700,24894.08000,25153.80000,0.00850,0.00830
2012-07-31,1044.27000,503.55100,540.71900,281.19300,119.90300,401.09600,139.62300,5.58500,145.20800,26.16200,119.04600,119.04600,119.04600,195.81800,139.62300,24759.84000,24925.72000,0.00480,0.00480
2012-04-30,924.87700,461.51300,463.36400,283.90200,106.63600,390.53800,72.82600,4.26900,77.09500,16.65800,60.43700,60.43700,60.43700,127.31700,72.82600,24631.20000,24951.44000,0.00250,0.00250
2012-01-31,953.19390,463.18090,490.01300,266.86200,100.83400,367.69610,122.31700,2.26000,124.57700,8.55200,116.02500,116.02500,116.02500,174.21200,122.31670,24145.84000,24654.84000,0.00480,0.00450
2011-10-31,1066.18000,509.46300,556.71700,256.49800,103.12900,359.62700,197.09010,7.69700,204.78700,26.51400,178.27300,178.27300,178.27300,249.47710,197.09010,24282.52000,24542.40000,0.00730,0.00730
2011-07-31,1016.51700,491.23300,525.28410,247.72100,103.53300,351.25400,174.03000,3.51700,177.54700,25.97400,151.57300,151.57300,151.57300,226.18900,174.03000,24053.60000,24557.36000,0.00630,0.00630
2011-04-30,962.03900,477.53600,484.50300,231.52400,98.11700,329.64100,154.86200,1.62300,156.48500,21.26600,135.21900,135.21900,135.21900,202.62600,154.86200,23792.08000,24538.96000,0.00580,0.00550
2011-01-31,886.37600,460.01700,426.35890,215.56300,88.01800,246.58110,179.77780,6.12800,185.90600,14.25500,171.65100,171.65100,171.65100,226.17080,179.77810,23007.08000,23547.36000,0.00750,0.00750
2010-10-31,843.91200,451.85000,392.06200,204.52700,83.75200,288.27900,103.78300,-0.19800,103.58500,18.72300,84.86200,84.86200,84.86200,150.65900,103.78300,23092.92000,23305.92000,0.00380,0.00380
2010-07-31,811.20800,676.91600,134.29200,210.63500,98.86400,309.49900,-175.20700,6.16000,-169.04700,-28.08600,-140.96100,-140.96100,-140.96100,-128.63400,-175.20700,22910.56000,22910.56000,-0.00630,-0.00630
2010-04-30,1001.81300,545.43600,456.37700,218.10500,90.87900,308.98390,147.39310,3.33200,150.72500,13.13100,137.59400,137.59400,137.59400,194.54010,147.39310,22687.32000,23639.88000,0.00600,0.00580
2010-01-31,982.48800,543.76700,438.72100,216.25100,88.18800,304.43930,134.28170,5.13900,139.42100,8.34500,131.07600,131.07600,131.07600,182.19570,134.28190,21982.96000,21982.96000,0.00600,0.00630
2009-10-31,903.20600,511.42300,391.78300,197.94800,85.99000,283.93800,107.84500,2.36200,110.20700,2.63000,107.57700,107.57700,107.57700,156.61500,107.84500,22051.32000,22975.24000,0.00500,0.00480
2009-07-31,776.52000,619.79700,156.72300,192.85500,73.97500,266.83000,-110.10690,3.00600,-107.10100,-1.79900,-105.30200,-105.30200,-105.30200,-60.78490,-110.10690,21865.56000,21865.56000,-0.00480,-0.00480
2009-04-30,664.23100,474.53500,189.69600,301.79700,118.86400,420.66100,-230.96500,6.14400,-224.82100,-23.48300,-201.33800,-201.33800,-201.33800,-180.30700,-230.96500,21692.28000,21692.28000,-0.00930,-0.00930
2009-01-31,481.13990,339.47410,141.66580,211.77900,86.44000,316.74910,-175.08330,4.70800,-170.37500,-22.71000,-147.66500,-147.66500,-147.66500,-127.02830,-175.08320,21925.04000,21925.04000,-0.00650,-0.00600
