,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,type
10,NVDA241227C00100000,2024-12-26 18:56:31+00:00,100.0,40.2,39.85,40.05,0.3500023,0.87829936,366.0,1163.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
11,NVDA241227C00101000,2024-12-20 20:58:44+00:00,101.0,33.4,38.85,39.0,0.0,0.0,35.0,42.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
12,NVDA241227C00102000,2024-12-26 16:40:15+00:00,102.0,37.5,37.85,38.0,0.049999237,0.13350931,20.0,72.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
13,NVDA241227C00103000,2024-12-20 20:58:50+00:00,103.0,31.4,36.85,37.05,0.0,0.0,34.0,47.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
14,NVDA241227C00104000,2024-12-26 17:12:00+00:00,104.0,35.98,35.85,36.05,3.2799988,10.030577,1.0,91.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
15,NVDA241227C00105000,2024-12-26 16:50:47+00:00,105.0,34.42,34.85,35.05,-0.8500023,-2.4099865,28.0,471.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
16,NVDA241227C00106000,2024-12-26 17:50:42+00:00,106.0,33.6,33.8,34.05,-0.45000076,-1.3215882,5.0,100.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
17,NVDA241227C00107000,2024-12-26 16:39:05+00:00,107.0,32.5,32.85,33.05,2.75,9.243697,2.0,39.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
18,NVDA241227C00108000,2024-12-26 16:39:05+00:00,108.0,31.5,31.85,32.05,-1.7299995,-5.2061377,8.0,183.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
19,NVDA241227C00109000,2024-12-26 19:11:18+00:00,109.0,31.13,30.85,31.0,-0.27000046,-0.85987407,4.0,211.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
20,NVDA241227C00110000,2024-12-26 17:49:10+00:00,110.0,29.57,29.85,30.05,-0.47999954,-1.5973363,127.0,1325.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
21,NVDA241227C00111000,2024-12-26 16:35:37+00:00,111.0,28.4,28.8,29.0,-1.3199997,-4.4414525,3.0,416.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
22,NVDA241227C00112000,2024-12-26 16:29:33+00:00,112.0,27.35,27.85,28.0,-1.6399994,-5.657121,3.0,728.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
23,NVDA241227C00113000,2024-12-26 16:48:09+00:00,113.0,26.57,26.85,27.0,-1.1399994,-4.114036,2.0,926.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
24,NVDA241227C00114000,2024-12-26 14:53:22+00:00,114.0,24.96,25.85,26.0,-2.040001,-7.555559,3.0,1098.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
25,NVDA241227C00115000,2024-12-26 18:32:02+00:00,115.0,25.35,24.9,25.05,0.25,0.9960159,105.0,1551.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
26,NVDA241227C00116000,2024-12-26 16:39:15+00:00,116.0,23.48,23.85,24.0,0.47999954,2.0869546,9.0,1247.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
27,NVDA241227C00117000,2024-12-26 19:03:33+00:00,117.0,22.95,22.85,23.0,0.9000015,4.08164,14.0,1099.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
28,NVDA241227C00118000,2024-12-26 19:03:33+00:00,118.0,21.95,21.9,22.0,1.1000004,5.275781,23.0,1363.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
29,NVDA241227C00119000,2024-12-26 19:03:33+00:00,119.0,20.95,20.85,21.0,-0.97999954,-4.468762,16.0,1199.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
30,NVDA241227C00120000,2024-12-26 19:33:15+00:00,120.0,20.0,19.85,19.95,-0.11000061,-0.54699457,667.0,5280.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
31,NVDA241227C00121000,2024-12-26 18:55:56+00:00,121.0,19.25,18.85,18.95,0.10000038,0.5221952,61.0,1375.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
32,NVDA241227C00122000,2024-12-26 19:03:39+00:00,122.0,17.95,17.9,17.95,0.20000076,1.1267649,34.0,1253.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
33,NVDA241227C00123000,2024-12-26 19:00:03+00:00,123.0,17.15,16.95,17.05,1.1999998,7.52351,189.0,1188.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
34,NVDA241227C00124000,2024-12-26 19:37:48+00:00,124.0,15.96,15.85,15.95,0.31000042,1.9447956,47.0,1673.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
35,NVDA241227C00125000,2024-12-26 19:09:47+00:00,125.0,15.05,14.9,15.0,-0.119999886,-0.79103416,276.0,4428.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
36,NVDA241227C00126000,2024-12-26 19:24:45+00:00,126.0,13.99,13.95,14.05,-0.11000061,-0.7801461,209.0,2105.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
37,NVDA241227C00127000,2024-12-26 18:35:23+00:00,127.0,13.17,12.85,13.0,0.020000458,0.15209474,76.0,2720.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
38,NVDA241227C00128000,2024-12-26 19:23:45+00:00,128.0,11.99,11.9,11.95,-0.31000042,-2.5203285,611.0,3543.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
39,NVDA241227C00129000,2024-12-26 19:18:04+00:00,129.0,11.1,10.85,11.0,-0.059999466,-0.5376296,222.0,4053.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
40,NVDA241227C00130000,2024-12-26 19:36:27+00:00,130.0,10.0,9.95,10.0,-0.19999981,-1.9607825,1378.0,19650.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
41,NVDA241227C00131000,2024-12-26 19:25:18+00:00,131.0,9.01,8.9,9.0,-0.3000002,-3.2223434,570.0,5737.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
42,NVDA241227C00132000,2024-12-26 19:33:03+00:00,132.0,8.05,7.9,8.0,-0.3000002,-3.5928166,1452.0,8254.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
43,NVDA241227C00133000,2024-12-26 19:33:05+00:00,133.0,7.05,6.95,7.1,-0.4499998,-5.9999976,1255.0,11886.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
44,NVDA241227C00134000,2024-12-26 19:26:10+00:00,134.0,6.0,5.95,6.05,-0.3000002,-4.7619076,1941.0,14125.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
45,NVDA241227C00135000,2024-12-26 19:36:45+00:00,135.0,5.0,5.0,5.05,-0.5,-9.090909,8097.0,24261.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
46,NVDA241227C00136000,2024-12-26 19:36:15+00:00,136.0,4.15,4.0,4.1,-0.5,-10.752688,3381.0,19488.0,1.0000000000000003e-05,True,REGULAR,USD,2024-12-27,call
47,NVDA241227C00137000,2024-12-26 19:28:24+00:00,137.0,3.2,3.1,3.2,-0.52,-13.978495,13311.0,29275.0,0.1562584375,True,REGULAR,USD,2024-12-27,call
48,NVDA241227C00138000,2024-12-26 19:36:47+00:00,138.0,2.31,2.31,2.32,-0.68000007,-22.742477,33386.0,19395.0,0.192390888671875,True,REGULAR,USD,2024-12-27,call
49,NVDA241227C00139000,2024-12-26 19:37:34+00:00,139.0,1.61,1.6,1.61,-0.68999994,-29.999998,66056.0,18475.0,0.2172929833984375,True,REGULAR,USD,2024-12-27,call
50,NVDA241227C00140000,2024-12-26 19:37:42+00:00,140.0,1.06,1.03,1.05,-0.58000004,-35.365856,158310.0,112588.0,0.2309647216796875,True,REGULAR,USD,2024-12-27,call
51,NVDA241227C00141000,2024-12-26 19:37:08+00:00,141.0,0.61,0.61,0.62,-0.53999996,-46.95652,85466.0,30801.0,0.23438265625,False,REGULAR,USD,2024-12-27,call
52,NVDA241227C00142000,2024-12-26 19:37:12+00:00,142.0,0.34,0.35,0.36,-0.42999998,-55.1282,74508.0,38586.0,0.245124736328125,False,REGULAR,USD,2024-12-27,call
53,NVDA241227C00143000,2024-12-26 19:37:23+00:00,143.0,0.18,0.18,0.19,-0.29,-61.70213,37092.0,28883.0,0.2500075,False,REGULAR,USD,2024-12-27,call
54,NVDA241227C00144000,2024-12-26 19:37:09+00:00,144.0,0.11,0.1,0.11,-0.19000001,-63.333336,25829.0,22929.0,0.26563234375,False,REGULAR,USD,2024-12-27,call
55,NVDA241227C00145000,2024-12-26 19:36:54+00:00,145.0,0.06,0.06,0.07,-0.120000005,-66.666664,63577.0,92269.0,0.28516339843749994,False,REGULAR,USD,2024-12-27,call
56,NVDA241227C00146000,2024-12-26 19:36:13+00:00,146.0,0.04,0.04,0.05,-0.07,-63.636364,22533.0,27262.0,0.3086006640625,False,REGULAR,USD,2024-12-27,call
57,NVDA241227C00147000,2024-12-26 19:36:38+00:00,147.0,0.03,0.03,0.04,-0.04,-57.142857,12313.0,74080.0,0.33789724609375,False,REGULAR,USD,2024-12-27,call
58,NVDA241227C00148000,2024-12-26 19:33:10+00:00,148.0,0.02,0.02,0.03,-0.04,-66.66667,4562.0,56177.0,0.35938140625,False,REGULAR,USD,2024-12-27,call
59,NVDA241227C00149000,2024-12-26 19:36:21+00:00,149.0,0.02,0.02,0.03,-0.02,-50.0,3077.0,21401.0,0.398443515625,False,REGULAR,USD,2024-12-27,call
60,NVDA241227C00150000,2024-12-26 19:37:36+00:00,150.0,0.02,0.01,0.02,-0.02,-50.0,13468.0,108750.0,0.4101621484375,False,REGULAR,USD,2024-12-27,call
61,NVDA241227C00152500,2024-12-26 19:36:01+00:00,152.5,0.01,0.01,0.02,0.0,0.0,22419.0,29749.0,0.49609878906250005,False,REGULAR,USD,2024-12-27,call
62,NVDA241227C00155000,2024-12-26 19:31:10+00:00,155.0,0.01,0.0,0.01,0.0,0.0,1812.0,26205.0,0.500005,False,REGULAR,USD,2024-12-27,call
63,NVDA241227C00157500,2024-12-26 19:37:39+00:00,157.5,0.01,0.0,0.01,0.0,0.0,1328.0,10643.0,0.5625043750000001,False,REGULAR,USD,2024-12-27,call
64,NVDA241227C00160000,2024-12-26 19:01:15+00:00,160.0,0.01,0.0,0.01,0.0,0.0,323.0,31422.0,0.6250037500000001,False,REGULAR,USD,2024-12-27,call
65,NVDA241227C00162500,2024-12-26 18:58:03+00:00,162.5,0.01,0.0,0.01,0.0,0.0,249.0,11598.0,0.6875031250000001,False,REGULAR,USD,2024-12-27,call
66,NVDA241227C00165000,2024-12-26 19:24:01+00:00,165.0,0.01,0.0,0.01,0.0,0.0,59.0,7613.0,0.7500025,False,REGULAR,USD,2024-12-27,call
67,NVDA241227C00167500,2024-12-24 15:20:00+00:00,167.5,0.01,0.0,0.01,0.0,0.0,7.0,3056.0,0.8125018749999999,False,REGULAR,USD,2024-12-27,call
68,NVDA241227C00170000,2024-12-26 16:07:18+00:00,170.0,0.01,0.0,0.01,0.0,0.0,6.0,8280.0,0.87500125,False,REGULAR,USD,2024-12-27,call
69,NVDA241227C00172500,2024-12-24 17:42:02+00:00,172.5,0.01,0.0,0.01,0.0,0.0,33.0,1410.0,0.937500625,False,REGULAR,USD,2024-12-27,call
70,NVDA241227C00175000,2024-12-26 18:39:08+00:00,175.0,0.01,0.0,0.01,0.0,0.0,3.0,7924.0,1.000005,False,REGULAR,USD,2024-12-27,call
71,NVDA241227C00180000,2024-12-26 14:30:09+00:00,180.0,0.01,0.0,0.01,0.0,0.0,2.0,5983.0,1.125004375,False,REGULAR,USD,2024-12-27,call
72,NVDA241227C00185000,2024-12-23 16:11:50+00:00,185.0,0.01,0.0,0.01,0.0,0.0,137.0,6680.0,1.2500037499999999,False,REGULAR,USD,2024-12-27,call
73,NVDA241227C00190000,2024-12-26 17:04:51+00:00,190.0,0.01,0.0,0.01,0.0,0.0,14.0,3492.0,1.3437532812499997,False,REGULAR,USD,2024-12-27,call
74,NVDA241227C00195000,2024-12-20 16:34:03+00:00,195.0,0.01,0.0,0.01,0.0,0.0,3.0,1857.0,1.4375028125,False,REGULAR,USD,2024-12-27,call
75,NVDA241227C00200000,2024-12-24 15:13:32+00:00,200.0,0.01,0.0,0.01,0.0,0.0,3.0,8049.0,1.5625021874999998,False,REGULAR,USD,2024-12-27,call
76,NVDA241227C00205000,2024-12-19 15:36:22+00:00,205.0,0.01,0.0,0.01,0.0,0.0,3.0,2134.0,1.625001875,False,REGULAR,USD,2024-12-27,call
77,NVDA241227C00210000,2024-12-23 20:02:09+00:00,210.0,0.01,0.0,0.01,0.0,0.0,500.0,1417.0,1.75000125,False,REGULAR,USD,2024-12-27,call
78,NVDA241227C00215000,2024-12-23 14:30:02+00:00,215.0,0.01,0.0,0.01,0.0,0.0,3.0,1983.0,1.8125009374999999,False,REGULAR,USD,2024-12-27,call
79,NVDA241227C00220000,2024-12-26 14:48:18+00:00,220.0,0.01,0.0,0.01,0.0,0.0,3.0,2291.0,1.9375003125,False,REGULAR,USD,2024-12-27,call
80,NVDA241227C00225000,2024-12-23 20:04:40+00:00,225.0,0.01,0.0,0.01,0.0,0.0,20.0,669.0,2.000005,False,REGULAR,USD,2024-12-27,call
81,NVDA241227C00230000,2024-12-26 14:30:08+00:00,230.0,0.01,0.0,0.01,0.0,0.0,25.0,1625.0,2.0625048437499998,False,REGULAR,USD,2024-12-27,call
82,NVDA241227C00235000,2024-12-17 14:30:01+00:00,235.0,0.02,0.0,0.01,0.0,0.0,10.0,501.0,2.1875045312499997,False,REGULAR,USD,2024-12-27,call
83,NVDA241227C00240000,2024-12-26 16:17:18+00:00,240.0,0.01,0.0,0.01,0.0,0.0,2.0,704.0,2.2500043749999996,False,REGULAR,USD,2024-12-27,call
84,NVDA241227C00245000,2024-12-24 14:30:00+00:00,245.0,0.01,0.0,0.01,0.0,0.0,4.0,181.0,2.3125042187499996,False,REGULAR,USD,2024-12-27,call
85,NVDA241227C00250000,2024-12-26 16:06:55+00:00,250.0,0.01,0.0,0.01,0.0,0.0,504.0,3522.0,2.3750040624999995,False,REGULAR,USD,2024-12-27,call
86,NVDA250103C00050000,2024-12-26 15:37:49+00:00,50.0,89.1,89.85,90.25,1.6299973,1.8634928,4.0,36.0,2.6093784765625,True,REGULAR,USD,2025-01-03,call
87,NVDA250103C00055000,2024-12-17 19:24:18+00:00,55.0,75.0,84.85,85.2,0.0,0.0,80.0,82.0,2.0625048437499998,True,REGULAR,USD,2025-01-03,call
88,NVDA250103C00060000,2024-12-23 16:05:01+00:00,60.0,77.44,79.8,80.2,0.0,0.0,9.0,148.0,1.875000625,True,REGULAR,USD,2025-01-03,call
89,NVDA250103C00065000,2024-12-20 20:43:40+00:00,65.0,68.28,74.9,75.3,0.0,0.0,8.0,12.0,2.1250046874999997,True,REGULAR,USD,2025-01-03,call
90,NVDA250103C00070000,2024-12-26 15:32:07+00:00,70.0,68.84,69.9,70.15,6.7299957,10.835608,51.0,55.0,1.0000000000000003e-05,True,REGULAR,USD,2025-01-03,call
91,NVDA250103C00075000,2024-12-26 15:16:43+00:00,75.0,63.0,64.9,65.25,0.8199997,1.3187515,1.0,29.0,1.640626796875,True,REGULAR,USD,2025-01-03,call
92,NVDA250103C00080000,2024-12-26 17:00:59+00:00,80.0,59.86,59.95,60.3,-0.23999786,-0.39933088,15.0,43.0,1.5937520312499998,True,REGULAR,USD,2025-01-03,call
93,NVDA250103C00085000,2024-12-24 17:15:46+00:00,85.0,55.91,54.85,55.3,0.0,0.0,11.0,279.0,1.4375028125,True,REGULAR,USD,2025-01-03,call
94,NVDA250103C00090000,2024-12-26 17:29:26+00:00,90.0,50.15,49.95,50.25,0.15000153,0.30000305,5.0,407.0,1.1953165234375,True,REGULAR,USD,2025-01-03,call
95,NVDA250103C00091000,2024-12-23 16:47:13+00:00,91.0,47.0,49.0,49.3,0.0,0.0,19.0,29.0,1.26172244140625,True,REGULAR,USD,2025-01-03,call
96,NVDA250103C00092000,2024-12-23 16:47:13+00:00,92.0,46.0,48.0,48.3,0.0,0.0,16.0,18.0,1.2343788281249999,True,REGULAR,USD,2025-01-03,call
97,NVDA250103C00093000,2024-12-23 18:29:06+00:00,93.0,45.85,47.0,47.35,0.0,0.0,17.0,24.0,1.2695349023437497,True,REGULAR,USD,2025-01-03,call
98,NVDA250103C00094000,2024-12-23 18:28:04+00:00,94.0,44.9,46.0,46.35,0.0,0.0,39.0,48.0,1.2402381738281247,True,REGULAR,USD,2025-01-03,call
99,NVDA250103C00095000,2024-12-26 18:52:12+00:00,95.0,45.38,45.05,45.25,1.7299995,3.9633436,4.0,65.0,1.0625046875000002,True,REGULAR,USD,2025-01-03,call
100,NVDA250103C00096000,2024-12-26 17:07:15+00:00,96.0,43.98,44.0,44.2,2.579998,6.231879,24.0,66.0,0.87500125,True,REGULAR,USD,2025-01-03,call
101,NVDA250103C00097000,2024-12-26 16:44:54+00:00,97.0,42.75,43.05,43.2,1.3499985,3.2608657,20.0,4.0,0.85937640625,True,REGULAR,USD,2025-01-03,call
102,NVDA250103C00100000,2024-12-26 18:14:39+00:00,100.0,39.98,40.05,40.25,-0.77000046,-1.8895717,79.0,196.0,0.937500625,True,REGULAR,USD,2025-01-03,call
103,NVDA250103C00101000,2024-12-26 17:21:26+00:00,101.0,39.25,39.05,39.2,-1.4000015,-3.4440382,15.0,39.0,0.7656273437500001,True,REGULAR,USD,2025-01-03,call
104,NVDA250103C00102000,2024-12-26 16:21:21+00:00,102.0,37.6,37.95,38.2,-0.20000076,-0.52910256,18.0,105.0,0.7500025,True,REGULAR,USD,2025-01-03,call
105,NVDA250103C00103000,2024-12-26 16:40:15+00:00,103.0,36.66,37.05,37.2,-1.3899994,-3.6530864,21.0,149.0,0.726565234375,True,REGULAR,USD,2025-01-03,call
106,NVDA250103C00104000,2024-12-26 17:12:00+00:00,104.0,36.18,35.95,36.2,0.08000183,0.22161172,21.0,536.0,0.70312796875,True,REGULAR,USD,2025-01-03,call
107,NVDA250103C00105000,2024-12-26 16:40:54+00:00,105.0,34.6,34.95,35.2,-0.84000015,-2.3702037,49.0,222.0,0.6875031250000001,True,REGULAR,USD,2025-01-03,call
108,NVDA250103C00106000,2024-12-26 16:14:05+00:00,106.0,33.65,34.05,34.25,0.49000168,1.477689,7.0,21.0,0.7929708203125,True,REGULAR,USD,2025-01-03,call
109,NVDA250103C00107000,2024-12-26 16:14:05+00:00,107.0,32.65,33.0,33.25,-1.199997,-3.5450428,10.0,9.0,0.7695335546875001,True,REGULAR,USD,2025-01-03,call
110,NVDA250103C00108000,2024-12-26 16:05:45+00:00,108.0,31.75,32.15,32.3,-1.25,-3.7878788,12.0,57.0,0.6992217578125001,True,REGULAR,USD,2025-01-03,call
111,NVDA250103C00109000,2024-12-26 16:58:02+00:00,109.0,30.75,31.05,31.2,-0.29999924,-0.96618116,19.0,59.0,0.6015664843750002,True,REGULAR,USD,2025-01-03,call
112,NVDA250103C00110000,2024-12-26 19:21:05+00:00,110.0,30.2,30.05,30.2,0.6500015,2.1996667,129.0,580.0,0.585941640625,True,REGULAR,USD,2025-01-03,call
113,NVDA250103C00111000,2024-12-26 19:19:29+00:00,111.0,29.2,29.1,29.25,-1.3199997,-4.3250318,24.0,80.0,0.6757844921875001,True,REGULAR,USD,2025-01-03,call
114,NVDA250103C00112000,2024-12-26 16:40:00+00:00,112.0,27.6,28.05,28.2,-1.75,-5.962521,33.0,156.0,0.5468795312500001,True,REGULAR,USD,2025-01-03,call
115,NVDA250103C00113000,2024-12-26 17:13:43+00:00,113.0,27.31,27.05,27.2,-0.5400009,-1.938962,22.0,183.0,0.523442265625,True,REGULAR,USD,2025-01-03,call
116,NVDA250103C00114000,2024-12-26 15:54:45+00:00,114.0,25.65,26.0,26.2,-0.30000114,-1.1560737,1.0,344.0,0.507817421875,True,REGULAR,USD,2025-01-03,call
117,NVDA250103C00115000,2024-12-26 18:02:57+00:00,115.0,25.3,25.1,25.2,0.3599987,1.443459,86.0,804.0,0.48438015625,True,REGULAR,USD,2025-01-03,call
118,NVDA250103C00116000,2024-12-26 16:44:39+00:00,116.0,23.6,24.0,24.2,-0.21999931,-0.9235907,25.0,195.0,0.4687553125,True,REGULAR,USD,2025-01-03,call
119,NVDA250103C00117000,2024-12-24 17:44:15+00:00,117.0,23.45,23.05,23.25,0.0,0.0,3.0,186.0,0.5410202148437502,True,REGULAR,USD,2025-01-03,call
120,NVDA250103C00118000,2024-12-26 14:53:16+00:00,118.0,21.25,22.1,22.25,-2.2800007,-9.68976,7.0,212.0,0.5195360546875,True,REGULAR,USD,2025-01-03,call
121,NVDA250103C00119000,2024-12-24 15:09:22+00:00,119.0,23.0,21.05,21.25,0.0,0.0,4.0,308.0,0.49609878906250005,True,REGULAR,USD,2025-01-03,call
122,NVDA250103C00120000,2024-12-26 19:04:54+00:00,120.0,20.25,20.1,20.3,-0.14999962,-0.73529226,257.0,1045.0,0.5195360546875,True,REGULAR,USD,2025-01-03,call
123,NVDA250103C00121000,2024-12-26 16:10:03+00:00,121.0,18.7,19.1,19.25,-1.7999992,-8.780484,162.0,428.0,0.45313046875,True,REGULAR,USD,2025-01-03,call
124,NVDA250103C00122000,2024-12-26 19:08:20+00:00,122.0,18.3,18.15,18.3,-1.1200008,-5.7672544,21.0,634.0,0.4726615234375,True,REGULAR,USD,2025-01-03,call
125,NVDA250103C00123000,2024-12-26 18:19:38+00:00,123.0,17.65,17.1,17.25,0.6499996,3.823527,7.0,535.0,0.40820904296875,True,REGULAR,USD,2025-01-03,call
126,NVDA250103C00124000,2024-12-26 18:52:33+00:00,124.0,16.54,16.15,16.35,1.210001,7.893027,138.0,919.0,0.45508357421875,True,REGULAR,USD,2025-01-03,call
127,NVDA250103C00125000,2024-12-26 19:06:11+00:00,125.0,15.4,15.15,15.25,-0.07000065,-0.45249286,314.0,2024.0,0.36524072265625,True,REGULAR,USD,2025-01-03,call
128,NVDA250103C00126000,2024-12-26 19:15:10+00:00,126.0,14.35,14.15,14.35,-1.1999998,-7.7170405,190.0,1309.0,0.405279384765625,True,REGULAR,USD,2025-01-03,call
129,NVDA250103C00127000,2024-12-26 19:00:54+00:00,127.0,13.45,13.2,13.4,1.0,8.032128,148.0,1958.0,0.4028380029296875,True,REGULAR,USD,2025-01-03,call
130,NVDA250103C00128000,2024-12-26 18:42:44+00:00,128.0,12.55,12.25,12.45,-0.10999966,-0.8688757,76.0,2475.0,0.39551385742187506,True,REGULAR,USD,2025-01-03,call
131,NVDA250103C00129000,2024-12-26 19:24:20+00:00,129.0,11.4,11.3,11.45,-0.25,-2.145923,141.0,3006.0,0.36914693359375,True,REGULAR,USD,2025-01-03,call
132,NVDA250103C00130000,2024-12-26 19:37:48+00:00,130.0,10.45,10.35,10.45,-0.3600006,-3.2997303,899.0,7860.0,0.34278000976562495,True,REGULAR,USD,2025-01-03,call
133,NVDA250103C00131000,2024-12-26 19:28:51+00:00,131.0,9.6,9.45,9.55,0.0,0.0,584.0,5757.0,0.34326828613281246,True,REGULAR,USD,2025-01-03,call
134,NVDA250103C00132000,2024-12-26 19:30:31+00:00,132.0,8.71,8.6,8.65,-0.28999996,-3.2222219,403.0,4080.0,0.33838552246093745,True,REGULAR,USD,2025-01-03,call
135,NVDA250103C00133000,2024-12-26 19:31:32+00:00,133.0,7.8,7.65,7.75,-0.34999943,-4.2944717,1607.0,3821.0,0.3286199951171874,True,REGULAR,USD,2025-01-03,call
136,NVDA250103C00134000,2024-12-26 19:12:00+00:00,134.0,7.0,6.85,6.95,-0.19999981,-2.7777753,924.0,4119.0,0.3320379296875,True,REGULAR,USD,2025-01-03,call
137,NVDA250103C00135000,2024-12-26 19:37:45+00:00,135.0,6.1,6.05,6.1,-0.4500003,-6.8181863,3383.0,17427.0,0.32129584960937496,True,REGULAR,USD,2025-01-03,call
138,NVDA250103C00136000,2024-12-26 19:37:19+00:00,136.0,5.3,5.3,5.4,-0.39999962,-7.0175376,1727.0,6634.0,0.32691102783203124,True,REGULAR,USD,2025-01-03,call
139,NVDA250103C00137000,2024-12-26 19:36:46+00:00,137.0,4.6,4.55,4.65,-0.4000001,-8.000002,2687.0,14058.0,0.31909860595703116,True,REGULAR,USD,2025-01-03,call
140,NVDA250103C00138000,2024-12-26 19:34:08+00:00,138.0,4.05,3.95,4.0,-0.39999962,-8.988756,4807.0,6101.0,0.3181220532226562,True,REGULAR,USD,2025-01-03,call
141,NVDA250103C00139000,2024-12-26 19:35:13+00:00,139.0,3.37,3.35,3.4,-0.48000002,-12.467533,13455.0,6626.0,0.31641308593749995,True,REGULAR,USD,2025-01-03,call
142,NVDA250103C00140000,2024-12-26 19:37:45+00:00,140.0,2.81,2.78,2.8,-0.48000002,-14.545455,38424.0,45551.0,0.3083565258789062,True,REGULAR,USD,2025-01-03,call
143,NVDA250103C00141000,2024-12-26 19:35:35+00:00,141.0,2.34,2.3,2.32,-0.3900001,-14.285718,14036.0,8443.0,0.3073799731445312,False,REGULAR,USD,2025-01-03,call
144,NVDA250103C00142000,2024-12-26 19:36:46+00:00,142.0,1.89,1.88,1.9,-0.40999997,-17.826086,15818.0,34004.0,0.30689169677734374,False,REGULAR,USD,2025-01-03,call
